client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 16:35:50.412799,2022-09-14 16:35:50.414543,2022-09-14 16:35:51.059566,0:00:00.646702,0.5,11.6
2022-09-14 16:35:50.414139,2022-09-14 16:35:50.415946,2022-09-14 16:35:51.083454,0:00:00.669256,21.4,11.6
2022-09-14 16:35:50.415485,2022-09-14 16:35:50.417224,2022-09-14 16:35:51.112854,0:00:00.697305,17.6,11.6
2022-09-14 16:35:50.416735,2022-09-14 16:35:50.418574,2022-09-14 16:35:51.141352,0:00:00.724562,17.6,11.6
2022-09-14 16:35:50.418181,2022-09-14 16:35:50.419873,2022-09-14 16:35:51.168748,0:00:00.750514,23.5,11.6
2022-09-14 16:35:50.419334,2022-09-14 16:35:50.421017,2022-09-14 16:35:51.197814,0:00:00.778429,17.6,11.6
2022-09-14 16:35:50.420407,2022-09-14 16:35:50.422106,2022-09-14 16:35:51.225229,0:00:00.804767,18.8,11.6
2022-09-14 16:35:50.421525,2022-09-14 16:35:50.423407,2022-09-14 16:35:51.267000,0:00:00.845422,23.1,11.6
2022-09-14 16:35:50.422725,2022-09-14 16:35:50.424244,2022-09-14 16:35:51.276864,0:00:00.854084,16.7,11.6
2022-09-14 16:35:50.424009,2022-09-14 16:35:50.435596,2022-09-14 16:35:51.303866,0:00:00.879800,18.7,11.6
2022-09-14 16:35:50.588591,2022-09-14 16:35:50.590549,2022-09-14 16:35:51.312058,0:00:00.723417,20.0,11.6
2022-09-14 16:35:50.588819,2022-09-14 16:35:50.590607,2022-09-14 16:35:51.319887,0:00:00.731012,25.0,11.6
2022-09-14 16:35:50.595177,2022-09-14 16:35:50.596749,2022-09-14 16:35:51.327615,0:00:00.732389,20.0,11.6
2022-09-14 16:35:50.595424,2022-09-14 16:35:50.596872,2022-09-14 16:35:51.336619,0:00:00.741144,20.0,11.6
2022-09-14 16:35:50.589005,2022-09-14 16:35:50.597217,2022-09-14 16:35:51.344499,0:00:00.755443,20.0,11.6
2022-09-14 16:35:50.588436,2022-09-14 16:35:50.597460,2022-09-14 16:35:51.352533,0:00:00.764048,20.0,11.6
2022-09-14 16:35:50.594954,2022-09-14 16:35:50.597525,2022-09-14 16:35:51.360335,0:00:00.765333,0.0,11.6
2022-09-14 16:35:50.595725,2022-09-14 16:35:50.597625,2022-09-14 16:35:51.368438,0:00:00.772664,20.0,11.6
2022-09-14 16:35:50.595887,2022-09-14 16:35:50.597661,2022-09-14 16:35:51.376101,0:00:00.780166,20.0,11.6
2022-09-14 16:35:50.594802,2022-09-14 16:35:50.602919,2022-09-14 16:35:51.383983,0:00:00.789132,25.0,11.6
2022-09-14 16:35:50.764129,2022-09-14 16:35:50.765554,2022-09-14 16:35:51.391981,0:00:00.627803,20.0,11.6
2022-09-14 16:35:50.763929,2022-09-14 16:35:50.765626,2022-09-14 16:35:51.399836,0:00:00.635858,0.0,11.6
2022-09-14 16:35:50.764485,2022-09-14 16:35:50.771072,2022-09-14 16:35:51.407627,0:00:00.643094,20.0,11.6
2022-09-14 16:35:50.770398,2022-09-14 16:35:50.771840,2022-09-14 16:35:51.416244,0:00:00.645797,20.0,11.6
2022-09-14 16:35:50.775807,2022-09-14 16:35:50.777653,2022-09-14 16:35:51.543528,0:00:00.767665,1.3,11.6
2022-09-14 16:35:50.770237,2022-09-14 16:35:50.777653,2022-09-14 16:35:51.549553,0:00:00.779263,33.3,11.6
2022-09-14 16:35:50.776631,2022-09-14 16:35:50.778003,2022-09-14 16:35:51.559677,0:00:00.782996,28.6,11.6
2022-09-14 16:35:50.770028,2022-09-14 16:35:50.778296,2022-09-14 16:35:51.567472,0:00:00.797394,20.0,11.6
2022-09-14 16:35:50.769834,2022-09-14 16:35:50.778520,2022-09-14 16:35:51.575535,0:00:00.805652,25.0,11.6
2022-09-14 16:35:50.775908,2022-09-14 16:35:50.794015,2022-09-14 16:35:51.583502,0:00:00.807544,20.0,11.6
2022-09-14 16:35:50.939413,2022-09-14 16:35:50.946051,2022-09-14 16:35:51.592205,0:00:00.652738,0.0,11.6
2022-09-14 16:35:50.950576,2022-09-14 16:35:50.957149,2022-09-14 16:35:51.600813,0:00:00.650183,20.0,11.6
2022-09-14 16:35:50.949901,2022-09-14 16:35:50.957200,2022-09-14 16:35:51.609342,0:00:00.659361,20.0,11.6
2022-09-14 16:35:50.955944,2022-09-14 16:35:50.957394,2022-09-14 16:35:51.617923,0:00:00.661929,20.0,11.6
2022-09-14 16:35:50.950120,2022-09-14 16:35:50.957927,2022-09-14 16:35:51.625820,0:00:00.675651,20.0,11.6
2022-09-14 16:35:50.950427,2022-09-14 16:35:50.958083,2022-09-14 16:35:51.634111,0:00:00.683635,33.3,11.6
2022-09-14 16:35:50.956904,2022-09-14 16:35:50.958575,2022-09-14 16:35:51.642220,0:00:00.685267,20.0,11.6
2022-09-14 16:35:50.956459,2022-09-14 16:35:50.969080,2022-09-14 16:35:51.651031,0:00:00.694509,33.3,11.6
2022-09-14 16:35:50.956263,2022-09-14 16:35:50.969080,2022-09-14 16:35:51.657188,0:00:00.700876,0.0,11.6
2022-09-14 16:35:50.950279,2022-09-14 16:35:50.969145,2022-09-14 16:35:51.668952,0:00:00.718621,28.6,11.6
2022-09-14 16:35:51.114848,2022-09-14 16:35:51.121502,2022-09-14 16:35:51.696054,0:00:00.581153,18.7,11.6
2022-09-14 16:35:51.131740,2022-09-14 16:35:51.133573,2022-09-14 16:35:51.703880,0:00:00.572079,20.0,11.6
2022-09-14 16:35:51.131461,2022-09-14 16:35:51.133757,2022-09-14 16:35:51.712894,0:00:00.581359,20.0,11.6
2022-09-14 16:35:51.125359,2022-09-14 16:35:51.133823,2022-09-14 16:35:51.720900,0:00:00.595483,20.0,11.6
2022-09-14 16:35:51.125714,2022-09-14 16:35:51.133947,2022-09-14 16:35:51.729154,0:00:00.603390,20.0,11.6
2022-09-14 16:35:51.131954,2022-09-14 16:35:51.139353,2022-09-14 16:35:51.740265,0:00:00.608261,28.6,11.6
2022-09-14 16:35:51.131606,2022-09-14 16:35:51.139353,2022-09-14 16:35:51.746225,0:00:00.614569,0.0,11.6
2022-09-14 16:35:51.125535,2022-09-14 16:35:51.139577,2022-09-14 16:35:51.756964,0:00:00.631379,28.6,11.6
2022-09-14 16:35:51.132268,2022-09-14 16:35:51.165209,2022-09-14 16:35:51.771259,0:00:00.638941,22.2,11.6
2022-09-14 16:35:51.138164,2022-09-14 16:35:51.170330,2022-09-14 16:35:51.781149,0:00:00.642936,16.7,11.6
2022-09-14 16:35:51.300819,2022-09-14 16:35:51.308594,2022-09-14 16:35:52.062222,0:00:00.761331,3.0,11.6
2022-09-14 16:35:51.306477,2022-09-14 16:35:51.308594,2022-09-14 16:35:52.068864,0:00:00.762323,25.0,11.6
2022-09-14 16:35:51.300965,2022-09-14 16:35:51.308675,2022-09-14 16:35:52.078746,0:00:00.777713,16.7,11.6
