client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 17:02:30.816040,2022-09-14 17:02:30.817457,2022-09-14 17:06:52.940720,0:04:22.124618,18.2,16.0
2022-09-14 17:02:30.817879,2022-09-14 17:02:30.819209,2022-09-14 17:06:52.967620,0:04:22.149684,18.7,16.0
2022-09-14 17:02:30.819621,2022-09-14 17:02:30.820688,2022-09-14 17:06:52.997168,0:04:22.177489,17.6,16.0
2022-09-14 17:02:30.820932,2022-09-14 17:02:30.822014,2022-09-14 17:06:53.025162,0:04:22.204175,23.5,16.0
2022-09-14 17:02:30.822049,2022-09-14 17:02:30.823365,2022-09-14 17:06:53.054434,0:04:22.232332,17.6,16.0
2022-09-14 17:02:30.823341,2022-09-14 17:02:30.824852,2022-09-14 17:06:53.098460,0:04:22.275062,19.2,16.0
2022-09-14 17:02:30.824511,2022-09-14 17:02:30.825747,2022-09-14 17:06:53.115096,0:04:22.290518,27.3,16.0
2022-09-14 17:02:30.825581,2022-09-14 17:02:30.826584,2022-09-14 17:06:53.135577,0:04:22.309944,16.7,16.0
2022-09-14 17:02:30.827111,2022-09-14 17:02:30.828135,2022-09-14 17:06:53.166847,0:04:22.339683,21.1,16.0
2022-09-14 17:02:30.828360,2022-09-14 17:02:30.849665,2022-09-14 17:06:53.197507,0:04:22.369095,17.6,16.0
2022-09-14 17:02:30.862178,2022-09-14 17:02:30.863186,2022-09-14 17:06:53.209171,0:04:22.346942,25.0,16.0
2022-09-14 17:02:30.861936,2022-09-14 17:02:30.863255,2022-09-14 17:06:53.216821,0:04:22.354836,25.0,16.0
2022-09-14 17:02:30.862967,2022-09-14 17:02:30.863952,2022-09-14 17:06:53.224583,0:04:22.361567,20.0,16.0
2022-09-14 17:02:30.868852,2022-09-14 17:02:30.869859,2022-09-14 17:06:53.234426,0:04:22.365524,16.7,16.0
2022-09-14 17:02:30.862530,2022-09-14 17:02:30.869921,2022-09-14 17:06:53.242074,0:04:22.379486,25.0,16.0
2022-09-14 17:02:30.862723,2022-09-14 17:02:30.870073,2022-09-14 17:06:53.249730,0:04:22.386959,33.3,16.0
2022-09-14 17:02:30.869903,2022-09-14 17:02:30.870926,2022-09-14 17:06:53.257291,0:04:22.387339,20.0,16.0
2022-09-14 17:02:30.869659,2022-09-14 17:02:30.876261,2022-09-14 17:06:53.265174,0:04:22.395466,25.0,16.0
2022-09-14 17:02:30.869359,2022-09-14 17:02:30.876531,2022-09-14 17:06:53.272958,0:04:22.403551,33.3,16.0
2022-09-14 17:02:30.875451,2022-09-14 17:02:30.876634,2022-09-14 17:06:53.280635,0:04:22.405135,0.0,16.0
2022-09-14 17:02:30.907414,2022-09-14 17:02:30.908459,2022-09-14 17:06:53.300388,0:04:22.392925,16.7,16.1
2022-09-14 17:02:30.907268,2022-09-14 17:02:30.908572,2022-09-14 17:06:53.308326,0:04:22.401009,25.0,16.1
2022-09-14 17:02:30.913562,2022-09-14 17:02:30.914677,2022-09-14 17:06:53.316012,0:04:22.402401,20.0,16.1
2022-09-14 17:02:30.907869,2022-09-14 17:02:30.919750,2022-09-14 17:06:53.327519,0:04:22.419602,14.3,16.1
2022-09-14 17:02:30.924256,2022-09-14 17:02:30.925284,2022-09-14 17:06:53.335419,0:04:22.411114,25.0,16.1
2022-09-14 17:02:30.913218,2022-09-14 17:02:30.925454,2022-09-14 17:06:53.345215,0:04:22.431948,16.7,16.1
2022-09-14 17:02:30.924080,2022-09-14 17:02:30.925586,2022-09-14 17:06:53.352835,0:04:22.428706,20.0,16.1
2022-09-14 17:02:30.913368,2022-09-14 17:02:30.925923,2022-09-14 17:06:53.360629,0:04:22.447212,25.0,16.1
2022-09-14 17:02:30.925189,2022-09-14 17:02:30.931328,2022-09-14 17:06:53.368467,0:04:22.443229,20.0,16.1
2022-09-14 17:02:30.924829,2022-09-14 17:02:30.941443,2022-09-14 17:06:53.382315,0:04:22.457435,14.3,16.1
2022-09-14 17:02:30.956178,2022-09-14 17:02:30.957224,2022-09-14 17:06:53.393841,0:04:22.437612,14.3,16.1
2022-09-14 17:02:30.956393,2022-09-14 17:02:30.957399,2022-09-14 17:06:53.401518,0:04:22.445076,25.0,16.1
2022-09-14 17:02:30.950911,2022-09-14 17:02:30.957864,2022-09-14 17:06:53.409354,0:04:22.458395,33.3,16.1
2022-09-14 17:02:30.956919,2022-09-14 17:02:30.963257,2022-09-14 17:06:53.419126,0:04:22.462157,16.7,16.1
2022-09-14 17:02:30.980935,2022-09-14 17:02:30.982005,2022-09-14 17:06:53.432972,0:04:22.451988,25.0,16.1
2022-09-14 17:02:30.981172,2022-09-14 17:02:30.982189,2022-09-14 17:06:53.440649,0:04:22.459428,0.0,16.1
2022-09-14 17:02:30.969414,2022-09-14 17:02:30.987652,2022-09-14 17:06:53.452220,0:04:22.482757,28.6,16.1
2022-09-14 17:02:30.991976,2022-09-14 17:02:30.993056,2022-09-14 17:06:53.460813,0:04:22.468788,20.0,16.1
2022-09-14 17:02:30.969588,2022-09-14 17:02:30.998668,2022-09-14 17:06:53.468625,0:04:22.498988,20.0,16.1
2022-09-14 17:02:30.986648,2022-09-14 17:02:30.998746,2022-09-14 17:06:53.476207,0:04:22.489509,0.0,16.1
2022-09-14 17:02:30.998144,2022-09-14 17:02:30.999190,2022-09-14 17:06:53.486116,0:04:22.487922,20.0,16.1
2022-09-14 17:02:30.997461,2022-09-14 17:02:30.999285,2022-09-14 17:06:53.493854,0:04:22.496344,33.3,16.1
2022-09-14 17:02:31.008795,2022-09-14 17:02:31.009874,2022-09-14 17:06:53.505506,0:04:22.496662,28.6,16.1
2022-09-14 17:02:30.956729,2022-09-14 17:02:31.015843,2022-09-14 17:06:53.513125,0:04:22.556348,20.0,16.1
2022-09-14 17:02:30.997609,2022-09-14 17:02:31.020959,2022-09-14 17:06:53.522980,0:04:22.525318,28.6,16.1
2022-09-14 17:02:31.020268,2022-09-14 17:02:31.026381,2022-09-14 17:06:53.530857,0:04:22.510541,25.0,16.1
2022-09-14 17:02:31.032132,2022-09-14 17:02:31.033222,2022-09-14 17:06:53.542518,0:04:22.510338,14.3,16.1
2022-09-14 17:02:31.025615,2022-09-14 17:02:31.033439,2022-09-14 17:06:53.550112,0:04:22.524447,0.0,16.1
2022-09-14 17:02:31.042810,2022-09-14 17:02:31.043945,2022-09-14 17:06:53.562296,0:04:22.519435,28.6,16.0
2022-09-14 17:02:31.043357,2022-09-14 17:02:31.044357,2022-09-14 17:06:53.570000,0:04:22.526594,20.0,16.0
2022-09-14 17:02:31.043172,2022-09-14 17:02:31.049609,2022-09-14 17:06:53.579638,0:04:22.536416,33.3,16.0
2022-09-14 17:02:31.032434,2022-09-14 17:02:31.049676,2022-09-14 17:06:53.587361,0:04:22.554877,20.0,16.0
2022-09-14 17:02:31.054098,2022-09-14 17:02:31.060392,2022-09-14 17:06:53.599130,0:04:22.544978,25.0,16.0
2022-09-14 17:02:31.070988,2022-09-14 17:02:31.072002,2022-09-14 17:06:53.610885,0:04:22.539847,16.7,16.1
2022-09-14 17:02:31.059637,2022-09-14 17:02:31.077226,2022-09-14 17:06:53.618642,0:04:22.558955,0.0,16.1
2022-09-14 17:02:31.076469,2022-09-14 17:02:31.077467,2022-09-14 17:06:53.626449,0:04:22.549931,25.0,16.1
2022-09-14 17:02:31.054264,2022-09-14 17:02:31.077793,2022-09-14 17:06:53.634313,0:04:22.580000,20.0,16.1
2022-09-14 17:02:31.087505,2022-09-14 17:02:31.088561,2022-09-14 17:06:53.645859,0:04:22.558304,25.0,16.1
2022-09-14 17:02:31.087324,2022-09-14 17:02:31.088696,2022-09-14 17:06:53.653680,0:04:22.566306,25.0,16.1
2022-09-14 17:02:31.097961,2022-09-14 17:02:31.098982,2022-09-14 17:06:53.663577,0:04:22.565566,28.6,16.1
2022-09-14 17:02:31.076773,2022-09-14 17:02:31.099102,2022-09-14 17:06:53.671322,0:04:22.594500,0.0,16.1
2022-09-14 17:02:31.087174,2022-09-14 17:02:31.104373,2022-09-14 17:06:53.683110,0:04:22.595887,28.6,16.1
2022-09-14 17:02:31.113915,2022-09-14 17:02:31.114971,2022-09-14 17:06:53.693030,0:04:22.579065,0.0,16.1
2022-09-14 17:02:31.103780,2022-09-14 17:02:31.115058,2022-09-14 17:06:53.700889,0:04:22.597057,40.0,16.1
2022-09-14 17:02:31.103580,2022-09-14 17:02:31.120150,2022-09-14 17:06:53.711307,0:04:22.607676,16.7,16.1
2022-09-14 17:02:31.119434,2022-09-14 17:02:31.120568,2022-09-14 17:06:53.719847,0:04:22.600363,20.0,16.1
2022-09-14 17:02:31.125282,2022-09-14 17:02:31.126317,2022-09-14 17:06:53.729788,0:04:22.604455,16.7,16.1
2022-09-14 17:02:31.130653,2022-09-14 17:02:31.131679,2022-09-14 17:06:53.739725,0:04:22.609022,28.6,16.1
2022-09-14 17:02:31.130866,2022-09-14 17:02:31.131867,2022-09-14 17:06:53.747526,0:04:22.616610,25.0,16.1
2022-09-14 17:02:31.131097,2022-09-14 17:02:31.137543,2022-09-14 17:06:53.757766,0:04:22.626618,16.7,16.1
2022-09-14 17:02:31.143311,2022-09-14 17:02:31.144323,2022-09-14 17:06:53.767476,0:04:22.624116,28.6,16.1
2022-09-14 17:02:31.119970,2022-09-14 17:02:31.154898,2022-09-14 17:06:53.777452,0:04:22.657433,33.3,16.1
2022-09-14 17:02:31.148740,2022-09-14 17:02:31.160165,2022-09-14 17:06:53.789087,0:04:22.640291,14.3,16.1
2022-09-14 17:02:31.164486,2022-09-14 17:02:31.165573,2022-09-14 17:06:53.796832,0:04:22.632296,20.0,16.1
2022-09-14 17:02:31.165006,2022-09-14 17:02:31.165967,2022-09-14 17:06:53.804737,0:04:22.639682,25.0,16.1
2022-09-14 17:02:31.170387,2022-09-14 17:02:31.171473,2022-09-14 17:06:53.814791,0:04:22.644354,16.7,16.1
2022-09-14 17:02:31.164768,2022-09-14 17:02:31.176592,2022-09-14 17:06:53.822576,0:04:22.657759,0.0,16.1
2022-09-14 17:02:31.175850,2022-09-14 17:02:31.176855,2022-09-14 17:06:53.830564,0:04:22.654665,25.0,16.1
2022-09-14 17:02:31.176099,2022-09-14 17:02:31.177118,2022-09-14 17:06:53.838659,0:04:22.662507,20.0,16.1
2022-09-14 17:02:31.181792,2022-09-14 17:02:31.182976,2022-09-14 17:06:53.848825,0:04:22.666981,16.7,16.1
2022-09-14 17:02:31.188691,2022-09-14 17:02:31.189797,2022-09-14 17:06:53.860842,0:04:22.672101,14.3,16.1
2022-09-14 17:02:31.181555,2022-09-14 17:02:31.194866,2022-09-14 17:06:53.870866,0:04:22.689261,16.7,16.1
2022-09-14 17:02:31.210163,2022-09-14 17:02:31.211257,2022-09-14 17:06:53.882998,0:04:22.672785,16.7,16.1
2022-09-14 17:02:31.209818,2022-09-14 17:02:31.211454,2022-09-14 17:06:53.891066,0:04:22.681191,20.0,16.1
2022-09-14 17:02:31.209971,2022-09-14 17:02:31.211545,2022-09-14 17:06:53.900900,0:04:22.690879,28.6,16.1
2022-09-14 17:02:31.210421,2022-09-14 17:02:31.211652,2022-09-14 17:06:53.908916,0:04:22.698445,20.0,16.1
2022-09-14 17:02:31.211095,2022-09-14 17:02:31.212067,2022-09-14 17:06:53.916724,0:04:22.705580,25.0,16.1
2022-09-14 17:02:31.216485,2022-09-14 17:02:31.222576,2022-09-14 17:06:53.928486,0:04:22.711952,14.3,16.1
2022-09-14 17:02:31.227193,2022-09-14 17:02:31.228181,2022-09-14 17:06:53.938375,0:04:22.711133,20.0,16.1
2022-09-14 17:02:31.227404,2022-09-14 17:02:31.228469,2022-09-14 17:06:53.946222,0:04:22.718768,20.0,16.1
2022-09-14 17:02:31.234035,2022-09-14 17:02:31.235107,2022-09-14 17:06:53.955946,0:04:22.721862,28.6,16.1
2022-09-14 17:02:31.226963,2022-09-14 17:02:31.235226,2022-09-14 17:06:53.963865,0:04:22.736853,20.0,16.1
2022-09-14 17:02:31.254893,2022-09-14 17:02:31.255892,2022-09-14 17:06:53.975855,0:04:22.720913,16.7,16.1
2022-09-14 17:02:31.265557,2022-09-14 17:02:31.267044,2022-09-14 17:06:53.985901,0:04:22.720294,16.7,16.1
2022-09-14 17:02:31.265839,2022-09-14 17:02:31.267045,2022-09-14 17:06:53.991767,0:04:22.725878,25.0,16.1
2022-09-14 17:02:31.266112,2022-09-14 17:02:31.267221,2022-09-14 17:06:54.002386,0:04:22.736222,16.7,16.1
2022-09-14 17:02:31.255120,2022-09-14 17:02:31.267221,2022-09-14 17:06:54.008587,0:04:22.753416,33.3,16.1
2022-09-14 17:02:31.265684,2022-09-14 17:02:31.267342,2022-09-14 17:06:54.018423,0:04:22.752689,16.7,16.1
2022-09-14 17:02:31.272329,2022-09-14 17:02:31.273528,2022-09-14 17:06:54.030351,0:04:22.757973,25.0,16.1
2022-09-14 17:02:31.272498,2022-09-14 17:02:31.278939,2022-09-14 17:06:54.040265,0:04:22.767717,33.3,16.1
2022-09-14 17:02:31.272786,2022-09-14 17:02:31.289168,2022-09-14 17:06:54.050035,0:04:22.777200,16.7,16.1
2022-09-14 17:02:31.288352,2022-09-14 17:02:31.289474,2022-09-14 17:06:54.057979,0:04:22.769578,20.0,16.1
2022-09-14 17:02:31.300247,2022-09-14 17:02:31.301317,2022-09-14 17:06:54.071823,0:04:22.771515,25.0,16.1
2022-09-14 17:02:31.300743,2022-09-14 17:02:31.306813,2022-09-14 17:06:54.079838,0:04:22.779045,20.0,16.1
2022-09-14 17:02:31.311274,2022-09-14 17:02:31.317331,2022-09-14 17:06:54.093615,0:04:22.782293,22.2,16.1
2022-09-14 17:02:31.311124,2022-09-14 17:02:31.317803,2022-09-14 17:06:54.101665,0:04:22.790491,40.0,16.1
2022-09-14 17:02:31.317071,2022-09-14 17:02:31.318139,2022-09-14 17:06:54.109569,0:04:22.792449,20.0,16.1
2022-09-14 17:02:31.316736,2022-09-14 17:02:31.318139,2022-09-14 17:06:54.115454,0:04:22.798668,40.0,16.1
2022-09-14 17:02:31.322437,2022-09-14 17:02:31.323512,2022-09-14 17:06:54.125221,0:04:22.802734,16.7,16.1
2022-09-14 17:02:31.338282,2022-09-14 17:02:31.339263,2022-09-14 17:06:54.139265,0:04:22.800932,25.0,16.1
2022-09-14 17:02:31.327814,2022-09-14 17:02:31.339323,2022-09-14 17:06:54.147101,0:04:22.819237,20.0,16.1
2022-09-14 17:02:31.343794,2022-09-14 17:02:31.344780,2022-09-14 17:06:54.157154,0:04:22.813310,0.0,16.1
2022-09-14 17:02:31.354538,2022-09-14 17:02:31.355770,2022-09-14 17:06:54.168779,0:04:22.814193,28.6,16.1
2022-09-14 17:02:31.354706,2022-09-14 17:02:31.355895,2022-09-14 17:06:54.177029,0:04:22.822274,33.3,16.1
2022-09-14 17:02:31.349185,2022-09-14 17:02:31.361096,2022-09-14 17:06:54.186890,0:04:22.837657,16.7,16.1
2022-09-14 17:02:31.360720,2022-09-14 17:02:31.361764,2022-09-14 17:06:54.196487,0:04:22.835718,20.0,16.1
2022-09-14 17:02:31.360352,2022-09-14 17:02:31.361875,2022-09-14 17:06:54.204707,0:04:22.844306,20.0,16.1
2022-09-14 17:02:31.371922,2022-09-14 17:02:31.372990,2022-09-14 17:06:54.214666,0:04:22.842696,0.0,16.1
2022-09-14 17:02:31.361254,2022-09-14 17:02:31.378166,2022-09-14 17:06:54.222402,0:04:22.861099,25.0,16.1
2022-09-14 17:02:31.371782,2022-09-14 17:02:31.378296,2022-09-14 17:06:54.230326,0:04:22.858494,33.3,16.1
2022-09-14 17:02:31.387915,2022-09-14 17:02:31.394060,2022-09-14 17:06:54.243986,0:04:22.856022,22.2,16.1
2022-09-14 17:02:31.382634,2022-09-14 17:02:31.394061,2022-09-14 17:06:54.249767,0:04:22.867084,0.0,16.1
2022-09-14 17:02:31.398453,2022-09-14 17:02:31.399585,2022-09-14 17:06:54.259747,0:04:22.861244,28.6,16.1
2022-09-14 17:02:31.398804,2022-09-14 17:02:31.399796,2022-09-14 17:06:54.267559,0:04:22.868707,20.0,16.1
2022-09-14 17:02:31.405892,2022-09-14 17:02:31.406947,2022-09-14 17:06:54.279531,0:04:22.873590,16.7,16.1
2022-09-14 17:02:31.405750,2022-09-14 17:02:31.412537,2022-09-14 17:06:54.289501,0:04:22.883701,16.7,16.1
2022-09-14 17:02:31.411492,2022-09-14 17:02:31.417837,2022-09-14 17:06:54.299244,0:04:22.887703,28.6,16.1
2022-09-14 17:02:31.416869,2022-09-14 17:02:31.418007,2022-09-14 17:06:54.307232,0:04:22.890314,25.0,16.1
2022-09-14 17:02:31.406177,2022-09-14 17:02:31.418007,2022-09-14 17:06:54.313160,0:04:22.906933,0.0,16.1
2022-09-14 17:02:31.422460,2022-09-14 17:02:31.423479,2022-09-14 17:06:54.327062,0:04:22.904543,22.2,16.1
2022-09-14 17:02:31.428174,2022-09-14 17:02:31.429304,2022-09-14 17:06:54.334811,0:04:22.906582,25.0,16.1
2022-09-14 17:02:31.427898,2022-09-14 17:02:31.434460,2022-09-14 17:06:54.344713,0:04:22.916764,16.7,16.1
2022-09-14 17:02:31.443959,2022-09-14 17:02:31.445057,2022-09-14 17:06:54.354489,0:04:22.910480,0.0,16.1
2022-09-14 17:02:31.443783,2022-09-14 17:02:31.455921,2022-09-14 17:06:54.368343,0:04:22.924510,30.0,16.1
2022-09-14 17:02:31.449398,2022-09-14 17:02:31.466042,2022-09-14 17:06:54.378372,0:04:22.928924,0.0,16.1
2022-09-14 17:02:31.454863,2022-09-14 17:02:31.466553,2022-09-14 17:06:54.386138,0:04:22.931226,20.0,16.1
2022-09-14 17:02:31.470916,2022-09-14 17:02:31.471926,2022-09-14 17:06:54.395938,0:04:22.924973,37.5,16.1
2022-09-14 17:02:31.465474,2022-09-14 17:02:31.472686,2022-09-14 17:06:54.403853,0:04:22.938331,25.0,16.1
2022-09-14 17:02:31.471703,2022-09-14 17:02:31.472798,2022-09-14 17:06:54.411631,0:04:22.939879,20.0,16.1
2022-09-14 17:02:31.471533,2022-09-14 17:02:31.478072,2022-09-14 17:06:54.419470,0:04:22.947887,20.0,16.1
2022-09-14 17:02:31.454712,2022-09-14 17:02:31.478072,2022-09-14 17:06:54.425336,0:04:22.970575,0.0,16.1
2022-09-14 17:02:31.471243,2022-09-14 17:02:31.478072,2022-09-14 17:06:54.431362,0:04:22.960070,25.0,16.1
2022-09-14 17:02:31.492776,2022-09-14 17:02:31.500992,2022-09-14 17:06:54.450906,0:04:22.958080,18.2,16.1
2022-09-14 17:02:31.499874,2022-09-14 17:02:31.501162,2022-09-14 17:06:54.458675,0:04:22.958752,20.0,16.1
2022-09-14 17:02:31.510873,2022-09-14 17:02:31.511889,2022-09-14 17:06:54.470662,0:04:22.959740,0.0,16.1
2022-09-14 17:02:31.516215,2022-09-14 17:02:31.517205,2022-09-14 17:06:54.482738,0:04:22.966460,28.6,16.1
2022-09-14 17:02:31.516632,2022-09-14 17:02:31.517692,2022-09-14 17:06:54.490558,0:04:22.973877,0.0,16.1
2022-09-14 17:02:31.516450,2022-09-14 17:02:31.518000,2022-09-14 17:06:54.498504,0:04:22.982005,20.0,16.1
2022-09-14 17:02:31.527568,2022-09-14 17:02:31.528610,2022-09-14 17:06:54.508484,0:04:22.980867,20.0,16.1
2022-09-14 17:02:31.517320,2022-09-14 17:02:31.528731,2022-09-14 17:06:54.516585,0:04:22.999216,20.0,16.1
2022-09-14 17:02:31.516948,2022-09-14 17:02:31.528852,2022-09-14 17:06:54.524543,0:04:23.007545,20.0,16.1
2022-09-14 17:02:31.527769,2022-09-14 17:02:31.528852,2022-09-14 17:06:54.530529,0:04:23.002711,0.0,16.1
2022-09-14 17:02:31.545342,2022-09-14 17:02:31.551500,2022-09-14 17:06:54.548112,0:04:23.002719,20.0,16.1
2022-09-14 17:02:31.545221,2022-09-14 17:02:31.551630,2022-09-14 17:06:54.556098,0:04:23.010828,20.0,16.1
2022-09-14 17:02:31.556010,2022-09-14 17:02:31.562739,2022-09-14 17:06:54.565949,0:04:23.009890,16.7,16.1
2022-09-14 17:02:31.561718,2022-09-14 17:02:31.562789,2022-09-14 17:06:54.571822,0:04:23.010055,33.3,16.1
2022-09-14 17:02:31.561283,2022-09-14 17:02:31.563045,2022-09-14 17:06:54.581833,0:04:23.020500,28.6,16.1
2022-09-14 17:02:31.561501,2022-09-14 17:02:31.563193,2022-09-14 17:06:54.589661,0:04:23.028110,20.0,16.1
2022-09-14 17:02:31.567818,2022-09-14 17:02:31.574127,2022-09-14 17:06:54.603557,0:04:23.035689,25.0,16.1
2022-09-14 17:02:31.573115,2022-09-14 17:02:31.579396,2022-09-14 17:06:54.611319,0:04:23.038154,20.0,16.1
2022-09-14 17:02:31.578633,2022-09-14 17:02:31.579802,2022-09-14 17:06:54.619171,0:04:23.040487,20.0,16.1
2022-09-14 17:02:31.562496,2022-09-14 17:02:31.585004,2022-09-14 17:06:54.627430,0:04:23.064885,20.0,16.1
2022-09-14 17:02:31.594450,2022-09-14 17:02:31.600524,2022-09-14 17:06:54.643111,0:04:23.048611,12.5,16.1
2022-09-14 17:02:31.605154,2022-09-14 17:02:31.611303,2022-09-14 17:06:54.654930,0:04:23.049725,14.3,16.1
2022-09-14 17:02:31.604970,2022-09-14 17:02:31.611496,2022-09-14 17:06:54.662706,0:04:23.057686,20.0,16.1
2022-09-14 17:02:31.604798,2022-09-14 17:02:31.611909,2022-09-14 17:06:54.670538,0:04:23.065691,25.0,16.1
2022-09-14 17:02:31.610518,2022-09-14 17:02:31.612051,2022-09-14 17:06:54.678699,0:04:23.068131,0.0,16.1
2022-09-14 17:02:31.610964,2022-09-14 17:02:31.625139,2022-09-14 17:06:54.690305,0:04:23.079292,14.3,16.1
2022-09-14 17:02:31.616461,2022-09-14 17:02:31.625139,2022-09-14 17:06:54.696309,0:04:23.079798,50.0,16.1
2022-09-14 17:02:31.624040,2022-09-14 17:02:31.625456,2022-09-14 17:06:54.706344,0:04:23.082254,16.7,16.1
2022-09-14 17:02:31.624434,2022-09-14 17:02:31.640703,2022-09-14 17:06:54.727276,0:04:23.102792,23.1,16.1
2022-09-14 17:02:31.610716,2022-09-14 17:02:31.645960,2022-09-14 17:06:54.735062,0:04:23.124289,0.0,16.1
2022-09-14 17:02:31.645157,2022-09-14 17:02:31.646598,2022-09-14 17:06:54.742896,0:04:23.097690,25.0,16.1
2022-09-14 17:02:31.645614,2022-09-14 17:02:31.652254,2022-09-14 17:06:54.753006,0:04:23.107342,16.7,16.1
2022-09-14 17:02:31.645349,2022-09-14 17:02:31.652391,2022-09-14 17:06:54.760872,0:04:23.115473,20.0,16.1
2022-09-14 17:02:31.650990,2022-09-14 17:02:31.652437,2022-09-14 17:06:54.768787,0:04:23.117747,20.0,16.1
2022-09-14 17:02:31.651766,2022-09-14 17:02:31.652795,2022-09-14 17:06:54.776779,0:04:23.124964,0.0,16.1
2022-09-14 17:02:31.651167,2022-09-14 17:02:31.652855,2022-09-14 17:06:54.784607,0:04:23.133390,20.0,16.1
2022-09-14 17:02:31.667455,2022-09-14 17:02:31.668468,2022-09-14 17:06:54.798567,0:04:23.131063,14.3,16.1
2022-09-14 17:02:31.667301,2022-09-14 17:02:31.673775,2022-09-14 17:06:54.806309,0:04:23.138959,20.0,16.1
2022-09-14 17:02:31.661824,2022-09-14 17:02:31.673859,2022-09-14 17:06:54.814223,0:04:23.152350,20.0,16.1
2022-09-14 17:02:31.690488,2022-09-14 17:02:31.691730,2022-09-14 17:06:54.829898,0:04:23.139361,22.2,16.1
