client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 16:45:10.556961,2022-09-14 16:45:10.558640,2022-09-14 16:45:11.033472,0:00:00.476443,8.0,13.1
2022-09-14 16:45:10.558478,2022-09-14 16:45:10.559971,2022-09-14 16:45:11.057070,0:00:00.498534,21.4,13.1
2022-09-14 16:45:10.559898,2022-09-14 16:45:10.561368,2022-09-14 16:45:11.085350,0:00:00.525395,22.2,13.1
2022-09-14 16:45:10.560974,2022-09-14 16:45:10.562651,2022-09-14 16:45:11.116724,0:00:00.555694,21.1,13.1
2022-09-14 16:45:10.562546,2022-09-14 16:45:10.564270,2022-09-14 16:45:11.148517,0:00:00.585917,16.7,13.1
2022-09-14 16:45:10.563607,2022-09-14 16:45:10.565357,2022-09-14 16:45:11.177369,0:00:00.613709,17.6,13.1
2022-09-14 16:45:10.564842,2022-09-14 16:45:10.566318,2022-09-14 16:45:11.198181,0:00:00.633286,23.1,13.1
2022-09-14 16:45:10.566399,2022-09-14 16:45:10.567833,2022-09-14 16:45:11.229175,0:00:00.662723,16.7,13.1
2022-09-14 16:45:10.567413,2022-09-14 16:45:10.568865,2022-09-14 16:45:11.252889,0:00:00.685421,21.4,13.1
2022-09-14 16:45:10.568342,2022-09-14 16:45:10.600803,2022-09-14 16:45:11.281626,0:00:00.713230,22.2,13.1
2022-09-14 16:45:10.648590,2022-09-14 16:45:10.650103,2022-09-14 16:45:11.289717,0:00:00.641074,33.3,13.1
2022-09-14 16:45:10.642925,2022-09-14 16:45:10.650176,2022-09-14 16:45:11.298124,0:00:00.655146,33.3,13.1
2022-09-14 16:45:10.648404,2022-09-14 16:45:10.650656,2022-09-14 16:45:11.306221,0:00:00.657756,25.0,13.1
2022-09-14 16:45:10.649247,2022-09-14 16:45:10.650680,2022-09-14 16:45:11.314427,0:00:00.665130,20.0,13.1
2022-09-14 16:45:10.643091,2022-09-14 16:45:10.650870,2022-09-14 16:45:11.322401,0:00:00.679252,20.0,13.1
2022-09-14 16:45:10.649051,2022-09-14 16:45:10.651026,2022-09-14 16:45:11.330653,0:00:00.681552,0.0,13.1
2022-09-14 16:45:10.642602,2022-09-14 16:45:10.651236,2022-09-14 16:45:11.338650,0:00:00.695998,20.0,13.1
2022-09-14 16:45:10.642763,2022-09-14 16:45:10.651256,2022-09-14 16:45:11.346750,0:00:00.703911,25.0,13.1
