client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 16:37:10.434871,2022-09-14 16:37:10.436510,2022-09-14 16:37:10.967683,0:00:00.532748,0.5,11.9
2022-09-14 16:37:10.436253,2022-09-14 16:37:10.437884,2022-09-14 16:37:10.994428,0:00:00.558112,13.3,11.9
2022-09-14 16:37:10.437846,2022-09-14 16:37:10.439499,2022-09-14 16:37:11.025322,0:00:00.587415,21.1,11.9
2022-09-14 16:37:10.439195,2022-09-14 16:37:10.440839,2022-09-14 16:37:11.053743,0:00:00.614491,18.7,11.9
2022-09-14 16:37:10.440629,2022-09-14 16:37:10.442296,2022-09-14 16:37:11.087704,0:00:00.647020,19.0,11.9
2022-09-14 16:37:10.441716,2022-09-14 16:37:10.443492,2022-09-14 16:37:11.117407,0:00:00.675635,17.6,11.9
2022-09-14 16:37:10.442966,2022-09-14 16:37:10.444672,2022-09-14 16:37:11.145110,0:00:00.702087,22.2,11.9
2022-09-14 16:37:10.444154,2022-09-14 16:37:10.446002,2022-09-14 16:37:11.183472,0:00:00.739263,21.7,11.9
2022-09-14 16:37:10.445262,2022-09-14 16:37:10.447044,2022-09-14 16:37:11.200705,0:00:00.755390,10.0,11.9
2022-09-14 16:37:10.446549,2022-09-14 16:37:10.458676,2022-09-14 16:37:11.229286,0:00:00.782682,18.7,11.9
2022-09-14 16:37:10.580545,2022-09-14 16:37:10.588083,2022-09-14 16:37:11.238661,0:00:00.658063,28.6,11.9
2022-09-14 16:37:10.586972,2022-09-14 16:37:10.593775,2022-09-14 16:37:11.246402,0:00:00.659380,0.0,11.9
2022-09-14 16:37:10.586369,2022-09-14 16:37:10.593775,2022-09-14 16:37:11.252230,0:00:00.665811,33.3,11.9
2022-09-14 16:37:10.580708,2022-09-14 16:37:10.594010,2022-09-14 16:37:11.263279,0:00:00.682521,14.3,11.9
2022-09-14 16:37:10.586809,2022-09-14 16:37:10.599143,2022-09-14 16:37:11.271510,0:00:00.684652,20.0,11.9
2022-09-14 16:37:10.586531,2022-09-14 16:37:10.599143,2022-09-14 16:37:11.277689,0:00:00.691108,0.0,11.9
