client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 16:29:10.309332,2022-09-14 16:29:10.311226,2022-09-14 16:29:10.714946,0:00:00.403541,1.6,11.1
2022-09-14 16:29:10.310849,2022-09-14 16:29:10.312722,2022-09-14 16:29:10.741967,0:00:00.431058,18.8,11.1
2022-09-14 16:29:10.312391,2022-09-14 16:29:10.314120,2022-09-14 16:29:10.771177,0:00:00.458731,22.2,11.1
2022-09-14 16:29:10.313746,2022-09-14 16:29:10.315482,2022-09-14 16:29:10.797624,0:00:00.483822,14.3,11.1
2022-09-14 16:29:10.314836,2022-09-14 16:29:10.316815,2022-09-14 16:29:10.824091,0:00:00.509193,23.5,11.1
2022-09-14 16:29:10.316118,2022-09-14 16:29:10.318134,2022-09-14 16:29:10.851182,0:00:00.535010,18.7,11.1
2022-09-14 16:29:10.317749,2022-09-14 16:29:10.319432,2022-09-14 16:29:10.877795,0:00:00.559993,18.7,11.1
2022-09-14 16:29:10.319032,2022-09-14 16:29:10.320831,2022-09-14 16:29:10.904335,0:00:00.585250,23.5,11.1
2022-09-14 16:29:10.320115,2022-09-14 16:29:10.321968,2022-09-14 16:29:10.930693,0:00:00.610525,20.0,11.1
2022-09-14 16:29:10.321461,2022-09-14 16:29:10.328756,2022-09-14 16:29:10.957126,0:00:00.635612,18.7,11.1
2022-09-14 16:29:11.316080,2022-09-14 16:29:11.323431,2022-09-14 16:29:11.714493,0:00:00.398343,1.8,11.1
2022-09-14 16:29:11.315844,2022-09-14 16:29:11.323431,2022-09-14 16:29:11.720528,0:00:00.404624,33.3,11.1
2022-09-14 16:29:11.321910,2022-09-14 16:29:11.323592,2022-09-14 16:29:11.730435,0:00:00.408468,0.0,11.1
2022-09-14 16:29:11.322395,2022-09-14 16:29:11.329202,2022-09-14 16:29:11.738092,0:00:00.415637,20.0,11.1
2022-09-14 16:29:11.322228,2022-09-14 16:29:11.329910,2022-09-14 16:29:11.745776,0:00:00.423496,25.0,11.1
2022-09-14 16:29:11.328221,2022-09-14 16:29:11.339815,2022-09-14 16:29:11.753774,0:00:00.425501,33.3,11.1
2022-09-14 16:29:11.327916,2022-09-14 16:29:11.340117,2022-09-14 16:29:11.761414,0:00:00.433446,20.0,11.1
2022-09-14 16:29:11.338223,2022-09-14 16:29:11.340168,2022-09-14 16:29:11.769405,0:00:00.431130,40.0,11.1
2022-09-14 16:29:11.316411,2022-09-14 16:29:11.345706,2022-09-14 16:29:11.777042,0:00:00.460580,20.0,11.1
2022-09-14 16:29:11.343890,2022-09-14 16:29:11.345706,2022-09-14 16:29:11.782752,0:00:00.438796,25.0,11.1
2022-09-14 16:29:12.322514,2022-09-14 16:29:12.329781,2022-09-14 16:29:12.759861,0:00:00.437276,0.7,11.1
2022-09-14 16:29:12.328247,2022-09-14 16:29:12.329929,2022-09-14 16:29:12.767988,0:00:00.439681,33.3,11.1
2022-09-14 16:29:12.328014,2022-09-14 16:29:12.329988,2022-09-14 16:29:12.775938,0:00:00.447869,0.0,11.1
2022-09-14 16:29:12.327785,2022-09-14 16:29:12.330090,2022-09-14 16:29:12.783550,0:00:00.455712,25.0,11.1
2022-09-14 16:29:12.334227,2022-09-14 16:29:12.336120,2022-09-14 16:29:12.791601,0:00:00.457321,20.0,11.1
2022-09-14 16:29:12.334518,2022-09-14 16:29:12.336261,2022-09-14 16:29:12.799442,0:00:00.464870,16.7,11.1
2022-09-14 16:29:12.322349,2022-09-14 16:29:12.336491,2022-09-14 16:29:12.807051,0:00:00.484650,25.0,11.1
2022-09-14 16:29:12.344009,2022-09-14 16:29:12.351335,2022-09-14 16:29:12.814745,0:00:00.470669,0.0,11.1
2022-09-14 16:29:12.344192,2022-09-14 16:29:12.356642,2022-09-14 16:29:12.822526,0:00:00.478282,20.0,11.1
2022-09-14 16:29:12.349519,2022-09-14 16:29:12.356642,2022-09-14 16:29:12.828185,0:00:00.478614,33.3,11.1
2022-09-14 16:29:13.328112,2022-09-14 16:29:13.329926,2022-09-14 16:29:13.791565,0:00:00.463385,1.0,11.1
2022-09-14 16:29:13.327976,2022-09-14 16:29:13.329926,2022-09-14 16:29:13.797749,0:00:00.469712,0.0,11.1
2022-09-14 16:29:13.333446,2022-09-14 16:29:13.335355,2022-09-14 16:29:13.807887,0:00:00.474387,28.6,11.1
2022-09-14 16:29:13.341256,2022-09-14 16:29:13.343307,2022-09-14 16:29:13.815666,0:00:00.474344,20.0,11.1
2022-09-14 16:29:13.341104,2022-09-14 16:29:13.343359,2022-09-14 16:29:13.823411,0:00:00.482253,25.0,11.1
2022-09-14 16:29:13.340914,2022-09-14 16:29:13.343360,2022-09-14 16:29:13.829009,0:00:00.488044,0.0,11.1
2022-09-14 16:29:13.341469,2022-09-14 16:29:13.343577,2022-09-14 16:29:13.838687,0:00:00.497167,20.0,11.1
2022-09-14 16:29:13.355778,2022-09-14 16:29:13.357721,2022-09-14 16:29:13.846294,0:00:00.490465,20.0,11.1
2022-09-14 16:29:13.350468,2022-09-14 16:29:13.357771,2022-09-14 16:29:13.853919,0:00:00.503393,20.0,11.1
2022-09-14 16:29:13.350297,2022-09-14 16:29:13.357894,2022-09-14 16:29:13.861523,0:00:00.511175,25.0,11.1
2022-09-14 16:29:14.334188,2022-09-14 16:29:14.336043,2022-09-14 16:29:14.839908,0:00:00.505646,0.9,11.1
2022-09-14 16:29:14.334321,2022-09-14 16:29:14.346613,2022-09-14 16:29:14.848187,0:00:00.513807,20.0,11.2
2022-09-14 16:29:14.339676,2022-09-14 16:29:14.346613,2022-09-14 16:29:14.853916,0:00:00.514186,33.3,11.2
2022-09-14 16:29:14.345134,2022-09-14 16:29:14.346992,2022-09-14 16:29:14.863508,0:00:00.518323,16.7,11.2
2022-09-14 16:29:14.345974,2022-09-14 16:29:14.347731,2022-09-14 16:29:14.871303,0:00:00.525279,25.0,11.2
2022-09-14 16:29:14.346291,2022-09-14 16:29:14.348013,2022-09-14 16:29:14.879020,0:00:00.532678,20.0,11.2
2022-09-14 16:29:14.345605,2022-09-14 16:29:14.353456,2022-09-14 16:29:14.886657,0:00:00.541001,0.0,11.2
2022-09-14 16:29:14.362108,2022-09-14 16:29:14.373871,2022-09-14 16:29:14.894517,0:00:00.532358,25.0,11.2
2022-09-14 16:29:14.361895,2022-09-14 16:29:14.374025,2022-09-14 16:29:14.902487,0:00:00.540541,20.0,11.2
2022-09-14 16:29:14.377642,2022-09-14 16:29:14.384557,2022-09-14 16:29:14.910221,0:00:00.532528,20.0,11.2
2022-09-14 16:29:15.339975,2022-09-14 16:29:15.347025,2022-09-14 16:29:15.863772,0:00:00.523722,1.0,11.2
2022-09-14 16:29:15.340121,2022-09-14 16:29:15.347025,2022-09-14 16:29:15.870188,0:00:00.530004,0.0,11.2
2022-09-14 16:29:15.350914,2022-09-14 16:29:15.352656,2022-09-14 16:29:15.879941,0:00:00.528973,28.6,11.2
2022-09-14 16:29:15.345530,2022-09-14 16:29:15.352927,2022-09-14 16:29:15.887583,0:00:00.541997,25.0,11.2
2022-09-14 16:29:15.351190,2022-09-14 16:29:15.353397,2022-09-14 16:29:15.895598,0:00:00.544356,0.0,11.2
2022-09-14 16:29:15.351657,2022-09-14 16:29:15.368821,2022-09-14 16:29:15.903460,0:00:00.551751,20.0,11.2
2022-09-14 16:29:15.367314,2022-09-14 16:29:15.369087,2022-09-14 16:29:15.911353,0:00:00.543987,20.0,11.2
2022-09-14 16:29:15.372743,2022-09-14 16:29:15.384752,2022-09-14 16:29:15.918923,0:00:00.546129,25.0,11.2
2022-09-14 16:29:15.357079,2022-09-14 16:29:15.384752,2022-09-14 16:29:15.924623,0:00:00.567493,0.0,11.2
2022-09-14 16:29:15.393662,2022-09-14 16:29:15.395368,2022-09-14 16:29:15.934148,0:00:00.540434,20.0,11.2
