client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 18:39:08.658771,2022-09-14 18:39:08.659776,2022-09-14 18:44:29.078089,0:05:20.419254,18.5,14.9
2022-09-14 18:39:08.660704,2022-09-14 18:39:08.661436,2022-09-14 18:44:29.133755,0:05:20.472993,20.6,14.9
2022-09-14 18:39:08.661976,2022-09-14 18:39:08.662852,2022-09-14 18:44:29.174914,0:05:20.512880,23.1,14.9
2022-09-14 18:39:08.663360,2022-09-14 18:39:08.664285,2022-09-14 18:44:29.216109,0:05:20.552693,17.4,14.9
2022-09-14 18:39:08.664917,2022-09-14 18:39:08.665686,2022-09-14 18:44:29.256777,0:05:20.591806,20.0,14.9
2022-09-14 18:39:08.666653,2022-09-14 18:39:08.667328,2022-09-14 18:44:29.297474,0:05:20.630767,20.8,14.9
2022-09-14 18:39:08.668278,2022-09-14 18:39:08.668907,2022-09-14 18:44:29.338675,0:05:20.670344,20.0,14.8
2022-09-14 18:39:08.669865,2022-09-14 18:39:08.670544,2022-09-14 18:44:29.379616,0:05:20.709700,16.7,14.8
2022-09-14 18:39:08.671132,2022-09-14 18:39:08.671899,2022-09-14 18:44:29.418471,0:05:20.747284,18.2,14.8
2022-09-14 18:39:08.672591,2022-09-14 18:39:08.678401,2022-09-14 18:44:29.448362,0:05:20.775718,21.1,14.8
2022-09-14 18:39:08.734715,2022-09-14 18:39:08.735385,2022-09-14 18:44:29.500322,0:05:20.765553,16.7,14.8
2022-09-14 18:39:08.734949,2022-09-14 18:39:08.735625,2022-09-14 18:44:29.569572,0:05:20.834569,21.4,14.8
2022-09-14 18:39:08.741092,2022-09-14 18:39:08.741848,2022-09-14 18:44:29.586307,0:05:20.845163,20.0,14.8
2022-09-14 18:39:08.734570,2022-09-14 18:39:08.747198,2022-09-14 18:44:29.600286,0:05:20.865666,33.3,14.8
2022-09-14 18:39:08.735312,2022-09-14 18:39:08.735999,2022-09-14 18:44:29.610048,0:05:20.874687,14.3,14.8
2022-09-14 18:39:08.735622,2022-09-14 18:39:08.752870,2022-09-14 18:44:29.624170,0:05:20.888498,22.2,14.8
2022-09-14 18:39:08.752500,2022-09-14 18:39:08.753119,2022-09-14 18:44:29.636082,0:05:20.883535,16.7,14.8
2022-09-14 18:39:08.752040,2022-09-14 18:39:08.752870,2022-09-14 18:44:29.648072,0:05:20.895984,14.3,14.8
2022-09-14 18:39:08.765181,2022-09-14 18:39:08.771492,2022-09-14 18:44:29.670196,0:05:20.904966,21.4,14.8
2022-09-14 18:39:08.807291,2022-09-14 18:39:08.808087,2022-09-14 18:44:29.718078,0:05:20.910737,20.7,14.8
2022-09-14 18:39:08.812907,2022-09-14 18:39:08.819134,2022-09-14 18:44:29.727931,0:05:20.914975,37.5,14.8
2022-09-14 18:39:08.812677,2022-09-14 18:39:08.813379,2022-09-14 18:44:29.762517,0:05:20.949788,15.8,14.8
2022-09-14 18:39:08.824590,2022-09-14 18:39:08.830679,2022-09-14 18:44:29.767858,0:05:20.943220,25.0,14.8
2022-09-14 18:39:08.807129,2022-09-14 18:39:08.830327,2022-09-14 18:44:29.814504,0:05:21.007321,18.5,14.8
2022-09-14 18:39:08.813111,2022-09-14 18:39:08.818896,2022-09-14 18:44:29.819854,0:05:21.006694,25.0,14.8
2022-09-14 18:39:08.746584,2022-09-14 18:39:08.758541,2022-09-14 18:44:29.841701,0:05:21.095067,16.7,14.8
2022-09-14 18:39:08.840613,2022-09-14 18:39:08.841791,2022-09-14 18:44:29.851742,0:05:21.011079,28.6,14.8
2022-09-14 18:39:08.841043,2022-09-14 18:39:08.841702,2022-09-14 18:44:29.861805,0:05:21.020714,28.6,14.8
2022-09-14 18:39:08.818479,2022-09-14 18:39:08.863306,2022-09-14 18:44:29.883727,0:05:21.065198,16.7,14.8
2022-09-14 18:39:08.890084,2022-09-14 18:39:08.890801,2022-09-14 18:44:29.909756,0:05:21.019623,18.7,14.8
2022-09-14 18:39:08.890301,2022-09-14 18:39:08.890956,2022-09-14 18:44:29.924877,0:05:21.034526,22.2,14.8
2022-09-14 18:39:08.829941,2022-09-14 18:39:08.841826,2022-09-14 18:44:29.930063,0:05:21.100073,0.0,14.8
2022-09-14 18:39:08.879297,2022-09-14 18:39:08.879971,2022-09-14 18:44:29.950327,0:05:21.070981,23.1,14.8
2022-09-14 18:39:08.901887,2022-09-14 18:39:08.908398,2022-09-14 18:44:29.981826,0:05:21.079891,25.0,14.8
2022-09-14 18:39:08.924139,2022-09-14 18:39:08.925448,2022-09-14 18:44:30.031598,0:05:21.107403,17.2,14.8
2022-09-14 18:39:08.923953,2022-09-14 18:39:08.924977,2022-09-14 18:44:30.036919,0:05:21.112913,25.0,14.8
2022-09-14 18:39:08.914001,2022-09-14 18:39:08.925015,2022-09-14 18:44:30.045017,0:05:21.130966,25.0,14.8
2022-09-14 18:39:08.901456,2022-09-14 18:39:08.924977,2022-09-14 18:44:30.053238,0:05:21.151734,20.0,14.8
2022-09-14 18:39:08.913846,2022-09-14 18:39:08.925252,2022-09-14 18:44:30.069068,0:05:21.155173,20.0,14.8
2022-09-14 18:39:08.901720,2022-09-14 18:39:08.913955,2022-09-14 18:44:30.077210,0:05:21.175442,33.3,14.9
2022-09-14 18:39:08.957763,2022-09-14 18:39:08.958501,2022-09-14 18:44:30.099207,0:05:21.141395,23.1,14.9
2022-09-14 18:39:08.969349,2022-09-14 18:39:08.970194,2022-09-14 18:44:30.139433,0:05:21.170025,17.4,14.9
2022-09-14 18:39:08.963490,2022-09-14 18:39:08.970026,2022-09-14 18:44:30.167282,0:05:21.203741,17.6,14.9
2022-09-14 18:39:08.975000,2022-09-14 18:39:08.975646,2022-09-14 18:44:30.175219,0:05:21.200169,25.0,14.9
2022-09-14 18:39:08.975341,2022-09-14 18:39:08.976040,2022-09-14 18:44:30.187757,0:05:21.212366,14.3,14.9
2022-09-14 18:39:08.991529,2022-09-14 18:39:08.992145,2022-09-14 18:44:30.222890,0:05:21.231311,15.0,14.9
2022-09-14 18:39:09.008676,2022-09-14 18:39:09.009312,2022-09-14 18:44:30.243644,0:05:21.234918,16.7,14.9
2022-09-14 18:39:08.996969,2022-09-14 18:39:08.997632,2022-09-14 18:44:30.249015,0:05:21.251997,25.0,14.8
2022-09-14 18:39:09.008399,2022-09-14 18:39:09.009776,2022-09-14 18:44:30.256956,0:05:21.248509,25.0,14.8
2022-09-14 18:39:09.003128,2022-09-14 18:39:09.009209,2022-09-14 18:44:30.274963,0:05:21.271786,18.2,14.8
2022-09-14 18:39:09.046570,2022-09-14 18:39:09.047190,2022-09-14 18:44:30.319979,0:05:21.273359,18.5,14.8
2022-09-14 18:39:09.035621,2022-09-14 18:39:09.041472,2022-09-14 18:44:30.376558,0:05:21.340885,20.6,14.9
2022-09-14 18:39:09.040978,2022-09-14 18:39:09.047292,2022-09-14 18:44:30.384651,0:05:21.343622,20.0,14.9
2022-09-14 18:39:09.047080,2022-09-14 18:39:09.074688,2022-09-14 18:44:30.398903,0:05:21.351773,12.5,14.9
2022-09-14 18:39:09.057828,2022-09-14 18:39:09.074746,2022-09-14 18:44:30.411093,0:05:21.353216,16.7,14.9
