client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 18:33:48.572155,2022-09-14 18:33:48.572917,2022-09-14 18:35:23.117989,0:01:34.545762,18.2,13.9
2022-09-14 18:33:48.574407,2022-09-14 18:33:48.574563,2022-09-14 18:35:23.158937,0:01:34.584473,25.9,13.9
2022-09-14 18:33:48.575888,2022-09-14 18:33:48.576112,2022-09-14 18:35:23.199732,0:01:34.623788,20.8,13.9
2022-09-14 18:33:48.577386,2022-09-14 18:33:48.577504,2022-09-14 18:35:23.240925,0:01:34.663485,16.7,13.9
2022-09-14 18:33:48.578427,2022-09-14 18:33:48.578881,2022-09-14 18:35:23.283486,0:01:34.705005,19.2,13.9
2022-09-14 18:33:48.579647,2022-09-14 18:33:48.580132,2022-09-14 18:35:23.309571,0:01:34.729873,20.0,13.9
2022-09-14 18:33:48.581289,2022-09-14 18:33:48.584954,2022-09-14 18:35:23.366116,0:01:34.784772,18.2,13.8
2022-09-14 18:33:48.585524,2022-09-14 18:33:48.586054,2022-09-14 18:35:23.414969,0:01:34.829391,22.6,13.8
2022-09-14 18:33:48.586711,2022-09-14 18:33:48.587043,2022-09-14 18:35:23.433801,0:01:34.847037,18.2,13.8
2022-09-14 18:33:48.588161,2022-09-14 18:33:48.618990,2022-09-14 18:35:23.483868,0:01:34.895656,20.0,13.8
2022-09-14 18:33:48.668225,2022-09-14 18:33:48.668387,2022-09-14 18:35:23.571530,0:01:34.903254,18.9,13.8
2022-09-14 18:33:48.673601,2022-09-14 18:33:48.684734,2022-09-14 18:35:23.593422,0:01:34.919770,16.7,13.8
2022-09-14 18:33:48.673765,2022-09-14 18:33:48.673960,2022-09-14 18:35:23.601371,0:01:34.927555,20.0,13.8
2022-09-14 18:33:48.674009,2022-09-14 18:33:48.685528,2022-09-14 18:35:23.617386,0:01:34.943327,20.0,13.8
2022-09-14 18:33:48.685588,2022-09-14 18:33:48.685632,2022-09-14 18:35:23.647416,0:01:34.961773,22.2,13.8
2022-09-14 18:33:48.684471,2022-09-14 18:33:48.684734,2022-09-14 18:35:23.657614,0:01:34.973094,16.7,13.8
2022-09-14 18:33:48.685100,2022-09-14 18:33:48.685061,2022-09-14 18:35:23.671572,0:01:34.986422,22.2,13.8
2022-09-14 18:33:48.691062,2022-09-14 18:33:48.691637,2022-09-14 18:35:23.693340,0:01:35.002227,16.7,13.8
2022-09-14 18:33:48.691963,2022-09-14 18:33:48.692254,2022-09-14 18:35:23.698808,0:01:35.006793,33.3,13.8
2022-09-14 18:33:48.685454,2022-09-14 18:33:48.692420,2022-09-14 18:35:23.704184,0:01:35.018681,0.0,13.8
2022-09-14 18:33:48.779612,2022-09-14 18:33:48.779753,2022-09-14 18:35:23.764779,0:01:34.985114,19.4,13.8
2022-09-14 18:33:48.761040,2022-09-14 18:33:48.774404,2022-09-14 18:35:23.802911,0:01:35.041818,17.4,13.8
2022-09-14 18:33:48.769161,2022-09-14 18:33:48.785472,2022-09-14 18:35:23.822291,0:01:35.053070,18.2,13.8
