client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 18:28:28.495408,2022-09-14 18:28:28.495658,2022-09-14 18:28:29.074048,0:00:00.578576,3.9,12.9
2022-09-14 18:28:28.497559,2022-09-14 18:28:28.497211,2022-09-14 18:28:29.118344,0:00:00.620725,19.2,12.9
2022-09-14 18:28:28.498776,2022-09-14 18:28:28.498698,2022-09-14 18:28:29.160339,0:00:00.661504,19.2,12.9
2022-09-14 18:28:28.500272,2022-09-14 18:28:28.500107,2022-09-14 18:28:29.201238,0:00:00.700911,20.8,12.9
2022-09-14 18:28:28.501901,2022-09-14 18:28:28.501629,2022-09-14 18:28:29.240134,0:00:00.738173,20.8,12.9
2022-09-14 18:28:28.503087,2022-09-14 18:28:28.503067,2022-09-14 18:28:29.281168,0:00:00.778027,20.0,12.9
2022-09-14 18:28:28.504560,2022-09-14 18:28:28.504275,2022-09-14 18:28:29.309852,0:00:00.805238,17.6,12.9
2022-09-14 18:28:28.505777,2022-09-14 18:28:28.505753,2022-09-14 18:28:29.366400,0:00:00.860568,20.6,12.9
2022-09-14 18:28:28.507159,2022-09-14 18:28:28.506956,2022-09-14 18:28:29.408208,0:00:00.900994,16.7,12.9
2022-09-14 18:28:28.508324,2022-09-14 18:28:28.533864,2022-09-14 18:28:29.430880,0:00:00.922502,21.4,12.9
2022-09-14 18:28:28.641687,2022-09-14 18:28:28.647187,2022-09-14 18:28:29.533557,0:00:00.891812,18.0,12.9
2022-09-14 18:28:28.658960,2022-09-14 18:28:28.658548,2022-09-14 18:28:29.555802,0:00:00.896787,26.7,12.9
2022-09-14 18:28:28.659251,2022-09-14 18:28:28.658966,2022-09-14 18:28:29.568651,0:00:00.909348,25.0,12.9
2022-09-14 18:28:28.641885,2022-09-14 18:28:28.646807,2022-09-14 18:28:29.573938,0:00:00.932005,0.0,12.9
2022-09-14 18:28:28.658649,2022-09-14 18:28:28.659032,2022-09-14 18:28:29.592212,0:00:00.933511,25.0,12.9
2022-09-14 18:28:28.641523,2022-09-14 18:28:28.658413,2022-09-14 18:28:29.605063,0:00:00.963489,14.3,12.9
2022-09-14 18:28:28.665305,2022-09-14 18:28:28.670255,2022-09-14 18:28:29.615348,0:00:00.949993,28.6,12.9
2022-09-14 18:28:28.648026,2022-09-14 18:28:28.647696,2022-09-14 18:28:29.627543,0:00:00.979467,14.3,12.9
2022-09-14 18:28:28.647283,2022-09-14 18:28:28.653138,2022-09-14 18:28:29.639448,0:00:00.992116,25.0,12.9
2022-09-14 18:28:28.647477,2022-09-14 18:28:28.647064,2022-09-14 18:28:29.651556,0:00:01.004031,16.7,12.9
2022-09-14 18:28:28.787476,2022-09-14 18:28:28.792362,2022-09-14 18:28:29.742322,0:00:00.954793,18.2,12.9
2022-09-14 18:28:28.804604,2022-09-14 18:28:28.804205,2022-09-14 18:28:29.766028,0:00:00.961371,26.7,12.9
2022-09-14 18:28:28.799106,2022-09-14 18:28:28.804125,2022-09-14 18:28:29.771501,0:00:00.972344,0.0,12.9
2022-09-14 18:28:28.792740,2022-09-14 18:28:28.792578,2022-09-14 18:28:29.776802,0:00:00.984014,25.0,12.9
2022-09-14 18:28:28.815640,2022-09-14 18:28:28.815695,2022-09-14 18:28:29.793001,0:00:00.977311,11.1,12.9
2022-09-14 18:28:28.792984,2022-09-14 18:28:28.792928,2022-09-14 18:28:29.803088,0:00:01.010056,28.6,12.9
2022-09-14 18:28:28.804392,2022-09-14 18:28:28.815274,2022-09-14 18:28:29.813213,0:00:01.008772,16.7,12.9
2022-09-14 18:28:28.787309,2022-09-14 18:28:28.792886,2022-09-14 18:28:29.823422,0:00:01.036065,16.7,12.9
2022-09-14 18:28:28.815126,2022-09-14 18:28:28.814896,2022-09-14 18:28:29.833512,0:00:01.018338,16.7,12.9
2022-09-14 18:28:28.816090,2022-09-14 18:28:28.816348,2022-09-14 18:28:29.843618,0:00:01.027477,28.6,12.9
2022-09-14 18:28:28.938187,2022-09-14 18:28:28.937963,2022-09-14 18:28:29.861672,0:00:00.923435,11.1,12.9
2022-09-14 18:28:28.943723,2022-09-14 18:28:28.954032,2022-09-14 18:28:29.900166,0:00:00.956392,20.8,12.9
2022-09-14 18:28:28.943561,2022-09-14 18:28:28.965809,2022-09-14 18:28:29.927049,0:00:00.983438,18.7,12.9
2022-09-14 18:28:28.960071,2022-09-14 18:28:28.965809,2022-09-14 18:28:29.939932,0:00:00.979810,14.3,12.9
2022-09-14 18:28:28.966025,2022-09-14 18:28:28.971621,2022-09-14 18:28:29.956079,0:00:00.990004,20.0,12.9
2022-09-14 18:28:28.959922,2022-09-14 18:28:28.977252,2022-09-14 18:28:29.974001,0:00:01.014030,20.0,12.9
2022-09-14 18:28:28.954352,2022-09-14 18:28:28.965809,2022-09-14 18:28:29.984260,0:00:01.029859,28.6,12.9
2022-09-14 18:28:28.965457,2022-09-14 18:28:28.978145,2022-09-14 18:28:30.002401,0:00:01.036892,18.2,12.9
2022-09-14 18:28:28.959741,2022-09-14 18:28:28.965809,2022-09-14 18:28:30.010813,0:00:01.051023,20.0,12.9
2022-09-14 18:28:28.978100,2022-09-14 18:28:28.989088,2022-09-14 18:28:30.027862,0:00:01.049712,20.0,12.9
2022-09-14 18:28:29.083614,2022-09-14 18:28:29.093506,2022-09-14 18:28:30.070256,0:00:00.986592,20.0,12.9
2022-09-14 18:28:29.099288,2022-09-14 18:28:29.104124,2022-09-14 18:28:30.110563,0:00:01.011222,16.7,12.9
2022-09-14 18:28:29.099126,2022-09-14 18:28:29.099059,2022-09-14 18:28:30.122645,0:00:01.023468,25.0,12.9
2022-09-14 18:28:29.115412,2022-09-14 18:28:29.115107,2022-09-14 18:28:30.130898,0:00:01.015437,20.0,12.9
2022-09-14 18:28:29.115851,2022-09-14 18:28:29.126194,2022-09-14 18:28:30.150813,0:00:01.034912,18.2,12.9
2022-09-14 18:28:29.110119,2022-09-14 18:28:29.126367,2022-09-14 18:28:30.177107,0:00:01.066932,13.3,12.9
2022-09-14 18:28:29.115667,2022-09-14 18:28:29.138451,2022-09-14 18:28:30.195484,0:00:01.079764,35.7,12.9
2022-09-14 18:28:29.126673,2022-09-14 18:28:29.126311,2022-09-14 18:28:30.203720,0:00:01.076998,0.0,12.9
2022-09-14 18:28:29.126314,2022-09-14 18:28:29.137955,2022-09-14 18:28:30.213917,0:00:01.087554,16.7,12.9
2022-09-14 18:28:29.138928,2022-09-14 18:28:29.138505,2022-09-14 18:28:30.222214,0:00:01.083237,25.0,12.9
2022-09-14 18:28:29.229005,2022-09-14 18:28:29.233727,2022-09-14 18:28:30.264320,0:00:01.035265,19.2,12.9
2022-09-14 18:28:29.282588,2022-09-14 18:28:29.287363,2022-09-14 18:28:30.322583,0:00:01.039943,17.6,12.9
2022-09-14 18:28:29.239495,2022-09-14 18:28:29.265618,2022-09-14 18:28:30.344798,0:00:01.105252,21.4,12.9
2022-09-14 18:28:29.271481,2022-09-14 18:28:29.281768,2022-09-14 18:28:30.363373,0:00:01.091840,18.2,12.9
2022-09-14 18:28:29.265980,2022-09-14 18:28:29.292580,2022-09-14 18:28:30.380714,0:00:01.114685,20.0,12.9
2022-09-14 18:28:29.244898,2022-09-14 18:28:29.249615,2022-09-14 18:28:30.386430,0:00:01.141482,0.0,12.9
