client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 18:44:28.744041,2022-09-14 18:44:28.745747,2022-09-14 18:55:38.651838,0:11:09.907735,18.2,16.4
2022-09-14 18:44:28.745669,2022-09-14 18:44:28.747186,2022-09-14 18:55:38.693141,0:11:09.947408,16.7,16.4
2022-09-14 18:44:28.747369,2022-09-14 18:44:28.748742,2022-09-14 18:55:38.732464,0:11:09.985038,20.8,16.4
2022-09-14 18:44:28.748895,2022-09-14 18:44:28.750175,2022-09-14 18:55:38.773981,0:11:10.025029,16.7,16.4
2022-09-14 18:44:28.750211,2022-09-14 18:44:28.751617,2022-09-14 18:55:38.817230,0:11:10.066958,22.2,16.4
2022-09-14 18:44:28.751355,2022-09-14 18:44:28.752901,2022-09-14 18:55:38.857026,0:11:10.105608,21.7,16.4
2022-09-14 18:44:28.752833,2022-09-14 18:44:28.754226,2022-09-14 18:55:38.885653,0:11:10.132762,22.2,16.4
2022-09-14 18:44:28.754494,2022-09-14 18:44:28.755696,2022-09-14 18:55:38.942021,0:11:10.187467,18.2,16.4
2022-09-14 18:44:28.755572,2022-09-14 18:44:28.756942,2022-09-14 18:55:38.983074,0:11:10.227444,20.0,16.4
2022-09-14 18:44:28.757201,2022-09-14 18:44:28.773570,2022-09-14 18:55:39.015346,0:11:10.258068,21.1,16.4
2022-09-14 18:44:28.798329,2022-09-14 18:44:28.799424,2022-09-14 18:55:39.027726,0:11:10.229338,14.3,16.4
2022-09-14 18:44:28.798697,2022-09-14 18:44:28.821540,2022-09-14 18:55:39.105717,0:11:10.306954,19.1,16.4
2022-09-14 18:44:28.814629,2022-09-14 18:44:28.815607,2022-09-14 18:55:39.142873,0:11:10.328186,18.2,16.4
2022-09-14 18:44:28.815048,2022-09-14 18:44:28.816060,2022-09-14 18:55:39.157731,0:11:10.342622,12.5,16.5
2022-09-14 18:44:28.832339,2022-09-14 18:44:28.833614,2022-09-14 18:55:39.163083,0:11:10.330692,50.0,16.5
2022-09-14 18:44:28.821022,2022-09-14 18:44:28.834226,2022-09-14 18:55:39.177475,0:11:10.356403,12.5,16.3
2022-09-14 18:44:28.821179,2022-09-14 18:44:28.827674,2022-09-14 18:55:39.189388,0:11:10.368160,25.0,16.3
2022-09-14 18:44:28.821342,2022-09-14 18:44:28.827582,2022-09-14 18:55:39.199709,0:11:10.378303,20.0,16.3
2022-09-14 18:44:28.804154,2022-09-14 18:44:28.815376,2022-09-14 18:55:39.214219,0:11:10.410016,12.5,16.3
2022-09-14 18:44:28.814890,2022-09-14 18:44:28.833900,2022-09-14 18:55:39.236458,0:11:10.421517,21.4,16.3
2022-09-14 18:44:28.865301,2022-09-14 18:44:28.877301,2022-09-14 18:55:39.278463,0:11:10.413110,16.7,16.3
2022-09-14 18:44:28.875842,2022-09-14 18:44:28.877980,2022-09-14 18:55:39.302795,0:11:10.426900,14.3,16.3
2022-09-14 18:44:28.876400,2022-09-14 18:44:28.883990,2022-09-14 18:55:39.323508,0:11:10.447058,16.7,16.3
2022-09-14 18:44:28.876194,2022-09-14 18:44:28.878303,2022-09-14 18:55:39.333807,0:11:10.457563,16.7,16.3
2022-09-14 18:44:28.877410,2022-09-14 18:44:28.878395,2022-09-14 18:55:39.352181,0:11:10.474721,27.3,16.3
2022-09-14 18:44:28.876708,2022-09-14 18:44:28.890021,2022-09-14 18:55:39.367757,0:11:10.490999,22.2,16.3
2022-09-14 18:44:28.876829,2022-09-14 18:44:28.877777,2022-09-14 18:55:39.390432,0:11:10.513554,15.4,16.3
2022-09-14 18:44:28.889519,2022-09-14 18:44:28.901110,2022-09-14 18:55:39.402390,0:11:10.512822,14.3,16.3
2022-09-14 18:44:28.927354,2022-09-14 18:44:28.928753,2022-09-14 18:55:39.435027,0:11:10.507621,20.0,16.3
2022-09-14 18:44:28.882845,2022-09-14 18:44:28.916926,2022-09-14 18:55:39.453036,0:11:10.570141,27.3,16.3
2022-09-14 18:44:28.888790,2022-09-14 18:44:28.922078,2022-09-14 18:55:39.464949,0:11:10.576110,25.0,16.3
2022-09-14 18:44:28.927666,2022-09-14 18:44:28.929390,2022-09-14 18:55:39.474988,0:11:10.547273,16.7,16.3
2022-09-14 18:44:28.927513,2022-09-14 18:44:28.928845,2022-09-14 18:55:39.490908,0:11:10.563346,22.2,16.3
2022-09-14 18:44:28.928472,2022-09-14 18:44:28.929772,2022-09-14 18:55:39.541308,0:11:10.612778,16.7,16.4
2022-09-14 18:44:28.934603,2022-09-14 18:44:28.936250,2022-09-14 18:55:39.554056,0:11:10.619400,33.3,16.4
2022-09-14 18:44:28.952098,2022-09-14 18:44:28.953159,2022-09-14 18:55:39.559366,0:11:10.607218,33.3,16.4
2022-09-14 18:44:28.941225,2022-09-14 18:44:28.942324,2022-09-14 18:55:39.567592,0:11:10.626318,20.0,16.4
2022-09-14 18:44:28.946778,2022-09-14 18:44:28.952994,2022-09-14 18:55:39.577774,0:11:10.630948,16.7,16.4
2022-09-14 18:44:28.941073,2022-09-14 18:44:28.959368,2022-09-14 18:55:39.593866,0:11:10.652744,22.2,16.4
2022-09-14 18:44:28.957634,2022-09-14 18:44:28.958760,2022-09-14 18:55:39.601973,0:11:10.644290,42.9,16.4
2022-09-14 18:44:28.980994,2022-09-14 18:44:28.987358,2022-09-14 18:55:39.636415,0:11:10.655371,19.0,16.4
2022-09-14 18:44:28.980746,2022-09-14 18:44:28.981947,2022-09-14 18:55:39.647655,0:11:10.666860,16.7,16.4
2022-09-14 18:44:28.980649,2022-09-14 18:44:28.981869,2022-09-14 18:55:39.658484,0:11:10.677786,16.7,16.4
2022-09-14 18:44:28.986730,2022-09-14 18:44:28.988346,2022-09-14 18:55:39.693227,0:11:10.706448,19.0,16.4
2022-09-14 18:44:28.987748,2022-09-14 18:44:28.994365,2022-09-14 18:55:39.709370,0:11:10.721572,20.0,16.4
2022-09-14 18:44:29.009985,2022-09-14 18:44:29.011920,2022-09-14 18:55:39.735603,0:11:10.725568,20.0,16.4
2022-09-14 18:44:29.004166,2022-09-14 18:44:29.005154,2022-09-14 18:55:39.747618,0:11:10.743402,14.3,16.4
2022-09-14 18:44:29.009593,2022-09-14 18:44:29.011240,2022-09-14 18:55:39.768013,0:11:10.758369,16.7,16.4
2022-09-14 18:44:28.998712,2022-09-14 18:44:29.010695,2022-09-14 18:55:39.777926,0:11:10.779164,20.0,16.4
2022-09-14 18:44:29.032944,2022-09-14 18:44:29.034022,2022-09-14 18:55:39.785883,0:11:10.752890,33.3,16.4
2022-09-14 18:44:29.010620,2022-09-14 18:44:29.012004,2022-09-14 18:55:39.803996,0:11:10.793322,18.2,16.4
2022-09-14 18:44:29.038705,2022-09-14 18:44:29.039935,2022-09-14 18:55:39.839449,0:11:10.800678,19.0,16.4
2022-09-14 18:44:29.039604,2022-09-14 18:44:29.051364,2022-09-14 18:55:39.853852,0:11:10.814191,25.0,16.4
2022-09-14 18:44:29.062356,2022-09-14 18:44:29.063688,2022-09-14 18:55:39.890526,0:11:10.828110,18.2,16.4
2022-09-14 18:44:29.061467,2022-09-14 18:44:29.063037,2022-09-14 18:55:39.918693,0:11:10.857162,22.2,16.4
2022-09-14 18:44:29.068348,2022-09-14 18:44:29.069574,2022-09-14 18:55:39.931111,0:11:10.862707,16.7,16.4
