client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 17:30:09.196802,2022-09-14 17:30:09.196498,2022-09-14 17:30:09.719490,0:00:00.522624,0.4,12.5
2022-09-14 17:30:09.197948,2022-09-14 17:30:09.197795,2022-09-14 17:30:09.751907,0:00:00.553894,16.7,12.5
2022-09-14 17:30:09.199299,2022-09-14 17:30:09.199107,2022-09-14 17:30:09.785988,0:00:00.586630,19.0,12.5
2022-09-14 17:30:09.200533,2022-09-14 17:30:09.200368,2022-09-14 17:30:09.816461,0:00:00.615837,22.2,12.5
2022-09-14 17:30:09.201874,2022-09-14 17:30:09.201652,2022-09-14 17:30:09.844289,0:00:00.642362,17.6,12.5
2022-09-14 17:30:09.203566,2022-09-14 17:30:09.203120,2022-09-14 17:30:09.883187,0:00:00.679567,17.4,12.5
2022-09-14 17:30:09.204975,2022-09-14 17:30:09.204614,2022-09-14 17:30:09.911520,0:00:00.706493,18.7,12.5
2022-09-14 17:30:09.206612,2022-09-14 17:30:09.206116,2022-09-14 17:30:09.949997,0:00:00.743333,17.4,12.5
2022-09-14 17:30:09.207777,2022-09-14 17:30:09.207542,2022-09-14 17:30:09.982154,0:00:00.774327,20.0,12.5
2022-09-14 17:30:09.209243,2022-09-14 17:30:09.239632,2022-09-14 17:30:10.008902,0:00:00.799608,25.0,12.5
2022-09-14 17:30:09.533021,2022-09-14 17:30:09.532555,2022-09-14 17:30:10.206928,0:00:00.673847,1.7,12.5
2022-09-14 17:30:09.532856,2022-09-14 17:30:09.539334,2022-09-14 17:30:10.219715,0:00:00.686805,14.3,12.5
2022-09-14 17:30:09.539505,2022-09-14 17:30:09.544733,2022-09-14 17:30:10.233546,0:00:00.693986,12.5,12.5
2022-09-14 17:30:09.545475,2022-09-14 17:30:09.544967,2022-09-14 17:30:10.244522,0:00:00.698985,28.6,12.5
2022-09-14 17:30:09.539326,2022-09-14 17:30:09.550289,2022-09-14 17:30:10.259985,0:00:00.720606,12.5,12.5
2022-09-14 17:30:09.545176,2022-09-14 17:30:09.555376,2022-09-14 17:30:10.272910,0:00:00.727680,12.5,12.5
2022-09-14 17:30:09.532667,2022-09-14 17:30:09.561570,2022-09-14 17:30:10.297280,0:00:00.764561,21.4,12.5
2022-09-14 17:30:09.561947,2022-09-14 17:30:09.561692,2022-09-14 17:30:10.302774,0:00:00.740776,40.0,12.5
2022-09-14 17:30:09.539756,2022-09-14 17:30:09.561713,2022-09-14 17:30:10.308236,0:00:00.768429,0.0,12.5
2022-09-14 17:30:09.533293,2022-09-14 17:30:09.562020,2022-09-14 17:30:10.325557,0:00:00.792213,18.2,12.5
2022-09-14 17:30:09.868904,2022-09-14 17:30:09.868544,2022-09-14 17:30:10.367957,0:00:00.498994,19.2,12.5
2022-09-14 17:30:09.875047,2022-09-14 17:30:09.874545,2022-09-14 17:30:10.387580,0:00:00.512476,16.7,12.5
2022-09-14 17:30:09.868680,2022-09-14 17:30:09.874603,2022-09-14 17:30:10.392836,0:00:00.524097,33.3,12.5
2022-09-14 17:30:09.874829,2022-09-14 17:30:09.875005,2022-09-14 17:30:10.407334,0:00:00.532455,12.5,12.5
2022-09-14 17:30:09.875799,2022-09-14 17:30:09.875302,2022-09-14 17:30:10.419954,0:00:00.544105,14.3,12.5
2022-09-14 17:30:09.881335,2022-09-14 17:30:09.880866,2022-09-14 17:30:10.432648,0:00:00.551262,25.0,12.5
2022-09-14 17:30:09.875555,2022-09-14 17:30:09.881072,2022-09-14 17:30:10.443675,0:00:00.568069,16.7,12.5
2022-09-14 17:30:09.875356,2022-09-14 17:30:09.886616,2022-09-14 17:30:10.460544,0:00:00.585138,20.0,12.5
2022-09-14 17:30:09.881168,2022-09-14 17:30:09.887202,2022-09-14 17:30:10.473093,0:00:00.591874,25.0,12.5
2022-09-14 17:30:09.903729,2022-09-14 17:30:09.908577,2022-09-14 17:30:10.487399,0:00:00.583620,12.5,12.5
2022-09-14 17:30:10.204505,2022-09-14 17:30:10.209175,2022-09-14 17:30:10.732604,0:00:00.528037,3.4,12.5
2022-09-14 17:30:10.209828,2022-09-14 17:30:10.209370,2022-09-14 17:30:10.743150,0:00:00.533266,16.7,12.5
2022-09-14 17:30:10.216629,2022-09-14 17:30:10.216225,2022-09-14 17:30:10.757632,0:00:00.540946,12.5,12.5
2022-09-14 17:30:10.217161,2022-09-14 17:30:10.216684,2022-09-14 17:30:10.769951,0:00:00.552739,33.3,12.5
2022-09-14 17:30:10.222950,2022-09-14 17:30:10.222425,2022-09-14 17:30:10.789798,0:00:00.566789,18.2,12.5
2022-09-14 17:30:10.217636,2022-09-14 17:30:10.222495,2022-09-14 17:30:10.795000,0:00:00.577314,40.0,12.5
2022-09-14 17:30:10.223350,2022-09-14 17:30:10.228922,2022-09-14 17:30:10.807940,0:00:00.584538,14.3,12.5
2022-09-14 17:30:10.229206,2022-09-14 17:30:10.244421,2022-09-14 17:30:10.826173,0:00:00.596913,20.0,12.5
2022-09-14 17:30:10.234787,2022-09-14 17:30:10.244421,2022-09-14 17:30:10.831767,0:00:00.596926,25.0,12.5
2022-09-14 17:30:10.229356,2022-09-14 17:30:10.249956,2022-09-14 17:30:10.846521,0:00:00.617109,22.2,12.5
2022-09-14 17:30:10.545702,2022-09-14 17:30:10.550322,2022-09-14 17:30:11.239528,0:00:00.693760,3.0,12.5
2022-09-14 17:30:10.551019,2022-09-14 17:30:10.550529,2022-09-14 17:30:11.248854,0:00:00.697768,16.7,12.5
2022-09-14 17:30:10.545544,2022-09-14 17:30:10.561185,2022-09-14 17:30:11.263153,0:00:00.717541,33.3,12.5
2022-09-14 17:30:10.562037,2022-09-14 17:30:10.561532,2022-09-14 17:30:11.272978,0:00:00.710872,16.7,12.5
2022-09-14 17:30:10.561875,2022-09-14 17:30:10.567198,2022-09-14 17:30:11.286728,0:00:00.724784,22.2,12.5
2022-09-14 17:30:10.556468,2022-09-14 17:30:10.567956,2022-09-14 17:30:11.298539,0:00:00.742017,16.7,12.5
2022-09-14 17:30:10.568163,2022-09-14 17:30:10.573317,2022-09-14 17:30:11.310122,0:00:00.741901,14.3,12.5
2022-09-14 17:30:10.567977,2022-09-14 17:30:10.583462,2022-09-14 17:30:11.321250,0:00:00.753221,28.6,12.5
2022-09-14 17:30:10.584108,2022-09-14 17:30:10.583611,2022-09-14 17:30:11.330426,0:00:00.746267,20.0,12.5
2022-09-14 17:30:10.568389,2022-09-14 17:30:10.605049,2022-09-14 17:30:11.344176,0:00:00.775734,30.0,12.5
2022-09-14 17:30:10.886602,2022-09-14 17:30:10.891309,2022-09-14 17:30:11.387320,0:00:00.500640,16.0,12.5
2022-09-14 17:30:10.897300,2022-09-14 17:30:10.896795,2022-09-14 17:30:11.398845,0:00:00.501460,16.7,12.5
2022-09-14 17:30:10.886449,2022-09-14 17:30:10.897151,2022-09-14 17:30:11.410422,0:00:00.523919,14.3,12.5
2022-09-14 17:30:10.903547,2022-09-14 17:30:10.903100,2022-09-14 17:30:11.425282,0:00:00.521678,22.2,12.5
2022-09-14 17:30:10.897525,2022-09-14 17:30:10.903134,2022-09-14 17:30:11.431269,0:00:00.533692,25.0,12.5
2022-09-14 17:30:10.903892,2022-09-14 17:30:10.903410,2022-09-14 17:30:11.440064,0:00:00.536121,20.0,12.5
2022-09-14 17:30:10.897918,2022-09-14 17:30:10.903507,2022-09-14 17:30:11.453417,0:00:00.555445,14.3,12.5
2022-09-14 17:30:10.897154,2022-09-14 17:30:10.903806,2022-09-14 17:30:11.466639,0:00:00.569434,22.2,12.5
2022-09-14 17:30:10.904585,2022-09-14 17:30:10.904145,2022-09-14 17:30:11.477769,0:00:00.573133,16.7,12.5
2022-09-14 17:30:10.920614,2022-09-14 17:30:10.940482,2022-09-14 17:30:11.488680,0:00:00.568015,16.7,12.5
2022-09-14 17:30:11.232882,2022-09-14 17:30:11.232484,2022-09-14 17:30:11.786022,0:00:00.553066,1.7,12.5
2022-09-14 17:30:11.232731,2022-09-14 17:30:11.232530,2022-09-14 17:30:11.791859,0:00:00.559071,50.0,12.5
2022-09-14 17:30:11.232598,2022-09-14 17:30:11.232563,2022-09-14 17:30:11.797518,0:00:00.564869,0.0,12.5
2022-09-14 17:30:11.239276,2022-09-14 17:30:11.238940,2022-09-14 17:30:11.812774,0:00:00.573447,30.0,12.5
2022-09-14 17:30:11.233412,2022-09-14 17:30:11.239257,2022-09-14 17:30:11.823993,0:00:00.590530,14.3,12.5
2022-09-14 17:30:11.238945,2022-09-14 17:30:11.239486,2022-09-14 17:30:11.834927,0:00:00.595931,16.7,12.5
2022-09-14 17:30:11.239094,2022-09-14 17:30:11.239603,2022-09-14 17:30:11.844112,0:00:00.604967,20.0,12.5
2022-09-14 17:30:11.240010,2022-09-14 17:30:11.245447,2022-09-14 17:30:11.862763,0:00:00.622679,18.2,12.5
2022-09-14 17:30:11.240389,2022-09-14 17:30:11.245492,2022-09-14 17:30:11.868298,0:00:00.627859,0.0,12.5
2022-09-14 17:30:11.266461,2022-09-14 17:30:11.271112,2022-09-14 17:30:11.886215,0:00:00.619700,20.0,12.5
