client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 17:54:09.581368,2022-09-14 17:54:09.581625,2022-09-14 17:58:32.448439,0:04:22.867009,18.5,15.5
2022-09-14 17:54:09.582791,2022-09-14 17:54:09.583462,2022-09-14 17:58:32.499732,0:04:22.916877,17.2,15.5
2022-09-14 17:54:09.584227,2022-09-14 17:54:09.584677,2022-09-14 17:58:32.516846,0:04:22.932561,18.2,15.5
2022-09-14 17:54:09.585683,2022-09-14 17:54:09.585856,2022-09-14 17:58:32.548412,0:04:22.962674,21.1,15.5
2022-09-14 17:54:09.586820,2022-09-14 17:54:09.587313,2022-09-14 17:58:32.592228,0:04:23.005353,16.7,15.5
2022-09-14 17:54:09.588078,2022-09-14 17:54:09.588475,2022-09-14 17:58:32.612917,0:04:23.024787,16.7,15.5
2022-09-14 17:54:09.589432,2022-09-14 17:54:09.590159,2022-09-14 17:58:32.637872,0:04:23.048388,25.0,15.5
2022-09-14 17:54:09.593559,2022-09-14 17:54:09.593883,2022-09-14 17:58:32.675522,0:04:23.081912,18.2,15.5
2022-09-14 17:54:09.594838,2022-09-14 17:54:09.595031,2022-09-14 17:58:32.707300,0:04:23.112405,20.0,15.5
2022-09-14 17:54:09.596128,2022-09-14 17:54:09.601356,2022-09-14 17:58:32.737120,0:04:23.140939,17.6,15.5
2022-09-14 17:54:09.636917,2022-09-14 17:54:09.637709,2022-09-14 17:58:32.757677,0:04:23.120707,23.1,15.5
2022-09-14 17:54:09.637267,2022-09-14 17:54:09.643230,2022-09-14 17:58:32.775516,0:04:23.138193,27.3,15.5
2022-09-14 17:54:09.642960,2022-09-14 17:54:09.643230,2022-09-14 17:58:32.780835,0:04:23.137824,0.0,15.5
2022-09-14 17:54:09.637416,2022-09-14 17:54:09.643374,2022-09-14 17:58:32.791378,0:04:23.153912,14.3,15.5
2022-09-14 17:54:09.637088,2022-09-14 17:54:09.643457,2022-09-14 17:58:32.801885,0:04:23.164747,16.7,15.5
2022-09-14 17:54:09.636762,2022-09-14 17:54:09.644281,2022-09-14 17:58:32.828046,0:04:23.191233,25.0,15.5
2022-09-14 17:54:09.643843,2022-09-14 17:54:09.644281,2022-09-14 17:58:32.833348,0:04:23.189454,0.0,15.5
2022-09-14 17:54:09.649897,2022-09-14 17:54:09.655132,2022-09-14 17:58:32.851901,0:04:23.201954,25.0,15.5
