client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 17:58:09.646455,2022-09-14 17:58:09.646605,2022-09-14 18:05:19.823295,0:07:10.176765,19.2,16.2
2022-09-14 17:58:09.647731,2022-09-14 17:58:09.648153,2022-09-14 18:05:19.856253,0:07:10.208457,23.8,16.2
2022-09-14 17:58:09.649101,2022-09-14 17:58:09.649472,2022-09-14 18:05:19.890271,0:07:10.241103,20.0,16.2
2022-09-14 17:58:09.650692,2022-09-14 17:58:09.650815,2022-09-14 18:05:19.920902,0:07:10.270148,21.1,16.2
2022-09-14 17:58:09.652374,2022-09-14 17:58:09.652471,2022-09-14 18:05:19.960812,0:07:10.308373,18.2,16.2
2022-09-14 17:58:09.653536,2022-09-14 17:58:09.653721,2022-09-14 18:05:19.989493,0:07:10.335895,22.2,16.2
2022-09-14 17:58:09.654836,2022-09-14 17:58:09.655159,2022-09-14 18:05:20.023234,0:07:10.368333,23.8,16.2
2022-09-14 17:58:09.656149,2022-09-14 17:58:09.656317,2022-09-14 18:05:20.062915,0:07:10.406704,20.8,16.2
2022-09-14 17:58:09.657509,2022-09-14 17:58:09.657534,2022-09-14 18:05:20.096354,0:07:10.438774,20.0,16.2
2022-09-14 17:58:09.658630,2022-09-14 17:58:09.674030,2022-09-14 18:05:20.128585,0:07:10.469892,21.1,16.2
2022-09-14 17:58:09.689749,2022-09-14 17:58:09.690251,2022-09-14 18:05:20.143936,0:07:10.454123,22.2,16.2
2022-09-14 17:58:09.695674,2022-09-14 17:58:09.696016,2022-09-14 18:05:20.165032,0:07:10.469298,16.7,16.2
2022-09-14 17:58:09.695860,2022-09-14 17:58:09.696016,2022-09-14 18:05:20.170661,0:07:10.474744,25.0,16.2
2022-09-14 17:58:09.701457,2022-09-14 17:58:09.701410,2022-09-14 18:05:20.188090,0:07:10.486574,11.1,16.2
2022-09-14 17:58:09.701921,2022-09-14 17:58:09.701944,2022-09-14 18:05:20.201625,0:07:10.499645,25.0,16.2
2022-09-14 17:58:09.689909,2022-09-14 17:58:09.702307,2022-09-14 18:05:20.214745,0:07:10.524755,30.0,16.2
2022-09-14 17:58:09.702177,2022-09-14 17:58:09.712704,2022-09-14 18:05:20.230010,0:07:10.527777,12.5,16.2
2022-09-14 17:58:09.701693,2022-09-14 17:58:09.717868,2022-09-14 18:05:20.245088,0:07:10.543336,22.2,16.2
2022-09-14 17:58:09.718358,2022-09-14 17:58:09.718598,2022-09-14 18:05:20.263664,0:07:10.545248,18.2,16.2
2022-09-14 17:58:09.718125,2022-09-14 17:58:09.718598,2022-09-14 18:05:20.269128,0:07:10.550952,33.3,16.2
2022-09-14 17:58:09.741329,2022-09-14 17:58:09.741414,2022-09-14 18:05:20.296264,0:07:10.554878,23.5,16.2
2022-09-14 17:58:09.741168,2022-09-14 17:58:09.741414,2022-09-14 18:05:20.301785,0:07:10.560564,0.0,16.2
2022-09-14 17:58:09.741691,2022-09-14 17:58:09.741599,2022-09-14 18:05:20.316800,0:07:10.575055,22.2,16.2
2022-09-14 17:58:09.741004,2022-09-14 17:58:09.747533,2022-09-14 18:05:20.339254,0:07:10.598189,28.6,16.2
2022-09-14 17:58:09.747281,2022-09-14 17:58:09.747533,2022-09-14 18:05:20.344746,0:07:10.597405,0.0,16.2
2022-09-14 17:58:09.752775,2022-09-14 17:58:09.753226,2022-09-14 18:05:20.359955,0:07:10.607125,22.2,16.2
2022-09-14 17:58:09.753167,2022-09-14 17:58:09.758758,2022-09-14 18:05:20.375601,0:07:10.622376,22.2,16.2
2022-09-14 17:58:09.759136,2022-09-14 17:58:09.759340,2022-09-14 18:05:20.388849,0:07:10.629661,12.5,16.2
2022-09-14 17:58:09.759427,2022-09-14 17:58:09.759665,2022-09-14 18:05:20.401962,0:07:10.642483,25.0,16.2
2022-09-14 17:58:09.759628,2022-09-14 17:58:09.760077,2022-09-14 18:05:20.415439,0:07:10.655755,25.0,16.2
